"","Field","Description","Type"
"85","total_home_comp_air_epa","Cumulative total completions air EPA for the home team in the game so far.","numeric"
"86","total_away_comp_air_epa","Cumulative total completions air EPA for the away team in the game so far.","numeric"
"87","total_home_comp_yac_epa","Cumulative total completions yac EPA for the home team in the game so far.","numeric"
"88","total_away_comp_yac_epa","Cumulative total completions yac EPA for the away team in the game so far.","numeric"
"89","total_home_raw_air_epa","Cumulative total raw air EPA for the home team in the game so far.","numeric"
"90","total_away_raw_air_epa","Cumulative total raw air EPA for the away team in the game so far.","numeric"
"91","total_home_raw_yac_epa","Cumulative total raw yac EPA for the home team in the game so far.","numeric"
"92","total_away_raw_yac_epa","Cumulative total raw yac EPA for the away team in the game so far.","numeric"
"93","wp","Estimated win probabiity for the posteam given the current situation at the start of the given play.","numeric"
"94","def_wp","Estimated win probability for the defteam.","numeric"
"95","home_wp","Estimated win probability for the home team.","numeric"
"96","away_wp","Estimated win probability for the away team.","numeric"
"97","wpa","Win probability added (WPA) for the posteam.","numeric"
"98","vegas_wpa","Win probability added (WPA) for the posteam: spread_adjusted model.","numeric"
"99","vegas_home_wpa","Win probability added (WPA) for the home team: spread_adjusted model.","numeric"
"100","home_wp_post","Estimated win probability for the home team at the end of the play.","numeric"
"101","away_wp_post","Estimated win probability for the away team at the end of the play.","numeric"
"102","vegas_wp","Estimated win probabiity for the posteam given the current situation at the start of the given play, incorporating pre-game Vegas line.","numeric"
"103","vegas_home_wp","Estimated win probability for the home team incorporating pre-game Vegas line.","numeric"
"104","total_home_rush_wpa","Cumulative total rushing WPA for the home team in the game so far.","numeric"
"105","total_away_rush_wpa","Cumulative total rushing WPA for the away team in the game so far.","numeric"
"106","total_home_pass_wpa","Cumulative total passing WPA for the home team in the game so far.","numeric"
"107","total_away_pass_wpa","Cumulative total passing WPA for the away team in the game so far.","numeric"
"108","air_wpa","WPA through the air (same logic as air_epa).","numeric"
"109","yac_wpa","WPA from yards after the catch (same logic as yac_epa).","numeric"
"110","comp_air_wpa","The air_wpa for completions only.","numeric"
"111","comp_yac_wpa","The yac_wpa for completions only.","numeric"
"112","total_home_comp_air_wpa","Cumulative total completions air WPA for the home team in the game so far.","numeric"
"113","total_away_comp_air_wpa","Cumulative total completions air WPA for the away team in the game so far.","numeric"
"114","total_home_comp_yac_wpa","Cumulative total completions yac WPA for the home team in the game so far.","numeric"
"115","total_away_comp_yac_wpa","Cumulative total completions yac WPA for the away team in the game so far.","numeric"
"116","total_home_raw_air_wpa","Cumulative total raw air WPA for the home team in the game so far.","numeric"
"117","total_away_raw_air_wpa","Cumulative total raw air WPA for the away team in the game so far.","numeric"
"118","total_home_raw_yac_wpa","Cumulative total raw yac WPA for the home team in the game so far.","numeric"
"119","total_away_raw_yac_wpa","Cumulative total raw yac WPA for the away team in the game so far.","numeric"
"120","punt_blocked","Binary indicator for if the punt was blocked.","numeric"
"121","first_down_rush","Binary indicator for if a running play converted the first down.","numeric"
"122","first_down_pass","Binary indicator for if a passing play converted the first down.","numeric"
"123","first_down_penalty","Binary indicator for if a penalty converted the first down.","numeric"
"124","third_down_converted","Binary indicator for if the first down was converted on third down.","numeric"
"125","third_down_failed","Binary indicator for if the posteam failed to convert first down on third down.","numeric"
"126","fourth_down_converted","Binary indicator for if the first down was converted on fourth down.","numeric"
"127","fourth_down_failed","Binary indicator for if the posteam failed to convert first down on fourth down.","numeric"
"128","incomplete_pass","Binary indicator for if the pass was incomplete.","numeric"
"129","touchback","Binary indicator for if a touchback occurred on the play.","numeric"
"130","interception","Binary indicator for if the pass was intercepted.","numeric"
"131","punt_inside_twenty","Binary indicator for if the punt ended inside the twenty yard line.","numeric"
"132","punt_in_endzone","Binary indicator for if the punt was in the endzone.","numeric"
"133","punt_out_of_bounds","Binary indicator for if the punt went out of bounds.","numeric"
"134","punt_downed","Binary indicator for if the punt was downed.","numeric"
"135","punt_fair_catch","Binary indicator for if the punt was caught with a fair catch.","numeric"
"136","kickoff_inside_twenty","Binary indicator for if the kickoff ended inside the twenty yard line.","numeric"
"137","kickoff_in_endzone","Binary indicator for if the kickoff was in the endzone.","numeric"
"138","kickoff_out_of_bounds","Binary indicator for if the kickoff went out of bounds.","numeric"
"139","kickoff_downed","Binary indicator for if the kickoff was downed.","numeric"
