"","Field","Description","Type"
"356","name","Name of the 'passer' if it is not 'NA', or name of the 'rusher' otherwise.","character"
"357","jersey_number","Jersey number of the player listed in the 'name' column.","numeric"
"358","id","ID of the player in the 'name' column.","character"
"359","fantasy_player_name","Name of the rusher on rush plays or receiver on pass plays (from official stats).","character"
"360","fantasy_player_id","ID of the rusher on rush plays or receiver on pass plays (from official stats).","character"
"361","fantasy","Name of the rusher on rush plays or receiver on pass plays.","character"
"362","fantasy_id","ID of the rusher on rush plays or receiver on pass plays.","character"
"363","out_of_bounds","1 if play description contains ran ob, pushed ob, or sacked ob; 0 otherwise.","numeric"
"364","home_opening_kickoff","1 if the home team received the opening kickoff, 0 otherwise.","numeric"
"365","qb_epa","Gives QB credit for EPA for up to the point where a receiver lost a fumble after a completed catch and makes EPA work more like passing yards on plays with fumbles.","numeric"
"366","xyac_epa","Expected value of EPA gained after the catch, starting from where the catch was made. Zero yards after the catch would be listed as zero EPA.","numeric"
"367","xyac_mean_yardage","Average expected yards after the catch based on where the ball was caught.","numeric"
"368","xyac_median_yardage","Median expected yards after the catch based on where the ball was caught.","numeric"
"369","xyac_success","Probability play earns positive EPA (relative to where play started) based on where ball was caught.","numeric"
"370","xyac_fd","Probability play earns a first down based on where the ball was caught.","numeric"
"371","xpass","Probability of dropback scaled from 0 to 1.","numeric"
"372","pass_oe","Dropback percent over expected on a given play scaled from 0 to 100.","numeric"
